,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
40-41.sub-CC00078XX13.ses-29900.R72,58.0,74.8768,26.0935,2.86956,28.102,2.66446,417.5,116.25,301.25,3945.5,10.6042,15.5,6.29499,4.5,1.09998,0.844709,11.0,9.50426,25.7985,0.097458,0.153509,0.950545,0.110383,1.25886,1.38582,1.19538,0.0434264,0.519458,0.25533,0.398339,0.195768,0.0701957,0,Left,18.0,9.0,204.611,134.889,89.5556,0.0115207,0.0181465,1.14851,0.00662614,1.53614,1.54627,1.53107,0.0147636,0.176226,0.0658085,0.141992,0.0851975,0.0429425,0,44.0,22.0,202.432,83.0455,88.8182,0.0122543,0.019302,0.883075,0.0121703,0.835026,0.847394,0.828842,0.0310014,0.0863671,0.0372848,0.068497,0.0375978,0.0164609,0
40-41.sub-CC00084XX11.ses-31201.R73,1.0,108.039,42.2421,2.55762,173.905,0.621255,32.75,32.75,0.0,667.75,0.0,0.5,3.16674,0.25,0.0,0.0,0.25,0.0,0.0,0.0956617,0.124082,0.81638,0.113723,1.20137,1.33651,1.13379,0.051928,0.43312,0.217296,0.333106,0.162003,0.0574702,0,Left,1.0,0.5,215.0,143.0,100.0,0.00775239,0.0100555,0.508212,0.0130498,0.411027,0.420592,0.406245,0.0300566,0.0324549,0.0150346,0.0268983,0.0143889,0.0058643,0,1.0,0.5,198.0,68.0,66.0,0.00923998,0.0119851,1.04949,0.00740778,0.734452,0.739215,0.732071,0.165372,0.00979517,0.00686175,0.00952001,0.00460995,0.00211689,0
40-41.sub-CC00086XX13.ses-31500.R71,18.0,94.6434,26.9525,3.51149,42.5432,2.22464,367.875,38.0,329.875,4776.25,23.106,8.0,7.22082,4.0,12.9755,132.233,4.0,10.1304,80.6021,0.109872,0.145769,0.82194,0.138301,1.2406,1.39817,1.16182,0.0511997,0.490346,0.247352,0.378285,0.183426,0.064403,0,Left,16.0,8.0,211.25,141.062,89.5,0.0111215,0.014755,0.948968,0.0113115,1.13329,1.14469,1.1276,0.0222452,0.125073,0.0506101,0.0987941,0.0559719,0.0255419,0,16.0,8.0,202.688,89.6875,93.375,0.0123582,0.0163959,0.876694,0.0104904,1.19492,1.20804,1.18837,0.0242327,0.133308,0.0544394,0.105067,0.0591122,0.0266415,0
40-41.sub-CC00103XX04.ses-35300.R72,1.0,88.5555,38.7719,2.28401,140.196,0.631653,27.75,27.75,0.0,575.75,0.0,0.5,3.27635,0.25,0.0,0.0,0.25,0.0,0.0,0.0977895,0.125881,0.861056,0.163854,1.21174,1.39876,1.11823,0.0515527,0.419761,0.216378,0.322021,0.153382,0.0526021,0,Left,1.0,0.5,209.0,150.0,96.0,0.0121517,0.0156425,1.01317,0.0207929,1.09,1.1116,1.0792,0.0322603,0.0878262,0.0381861,0.0693599,0.0378019,0.0163415,0,1.0,0.5,193.0,83.0,61.0,0.0118172,0.0152118,1.01442,0.0237516,0.767659,0.783027,0.759974,0.0440864,0.0619038,0.0262187,0.0509065,0.028938,0.0134793,0
40-41.sub-CC00106XX07.ses-36100.R71,11.0,123.45,39.0045,3.16502,87.4707,1.41133,193.125,38.25,154.875,2613.25,24.1215,4.25,4.77432,2.25,8.23442,94.6746,2.0,15.887,396.466,0.111962,0.134136,0.825715,0.142983,1.20539,1.38138,1.1174,0.0524887,0.500233,0.255181,0.381443,0.182632,0.0636898,0,Left,9.0,4.5,201.0,85.3333,100.0,0.0104366,0.0125036,0.805585,0.00826102,1.1409,1.15005,1.13632,0.0371764,0.135979,0.0530824,0.108755,0.0634306,0.0305095,0,8.0,4.0,197.0,118.375,29.375,0.00829804,0.00994146,0.915733,0.0226043,0.282842,0.288673,0.279927,0.0808427,0.0241238,0.012743,0.020379,0.0102983,0.00402241,0
40-41.sub-CC00111XX04.ses-37002.R74,1.0,79.5645,14.144,5.62531,123.054,0.646582,26.125,26.125,0.0,521.25,0.0,0.5,3.22518,0.25,0.0,0.0,0.25,0.0,0.0,0.0836337,0.0940614,0.700934,0.100576,1.18059,1.29584,1.12297,0.0375554,0.529374,0.26306,0.394802,0.189032,0.0651798,0,Left,1.0,0.5,216.0,127.0,72.0,0.000126043,0.000141758,0.398566,0.0,0.0,0.0,0.0,0.0438475,-0.000340429,0.0,0.0,0.0,0.0,0,1.0,0.5,208.0,100.0,68.0,0.00866143,0.00974136,0.968618,0.00383038,1.13273,1.13761,1.13029,0.0279844,0.0718369,0.0260171,0.0610817,0.0381595,0.0203843,0
40-41.sub-CC00115XX08.ses-37801.R74,1.0,129.092,22.2158,5.81081,208.142,0.620209,39.0,39.0,0.0,811.5,0.0,0.5,3.22628,0.25,0.0,0.0,0.25,0.0,0.0,0.141171,0.150659,0.862078,0.162763,1.22967,1.42834,1.13033,0.0582831,0.50892,0.26302,0.393819,0.188512,0.0653393,0,Left,1.0,0.5,211.0,133.0,51.0,0.0119825,0.0127877,0.871683,0.0127183,0.571939,0.585691,0.565063,0.0541091,0.0701714,0.0326139,0.0541204,0.0276359,0.0104533,0,1.0,0.5,204.0,101.0,81.0,0.0116512,0.0124342,1.01574,0.00831358,1.4594,1.47058,1.45382,0.0218157,0.126634,0.0480924,0.1032,0.0613318,0.0299762,0
40-41.sub-CC00158XX10.ses-52200.R69,18.0,105.646,31.1616,3.39028,52.985,1.99389,329.875,0.0,329.875,4615.25,19.2143,7.5,6.9741,4.25,12.1297,108.759,3.25,7.08452,48.5162,0.0954867,0.136259,0.965989,0.120677,1.22573,1.36836,1.15442,0.0511105,0.457284,0.229249,0.351516,0.171012,0.0607247,0,Left,17.0,8.5,213.353,133.235,77.6471,0.0100772,0.0143802,0.877322,0.0144536,0.615681,0.626407,0.610318,0.0293838,0.0858048,0.0375009,0.0670252,0.03594,0.0148562,0,13.0,6.5,199.538,74.3077,95.6154,0.00989254,0.0141166,1.03304,0.019943,0.533317,0.541552,0.529199,0.0423383,0.0790946,0.0317387,0.0643759,0.0370527,0.0170426,0
40-41.sub-CC00162XX06.ses-53600.R69,19.0,77.9167,21.1899,3.67707,40.8511,1.90733,222.625,54.375,168.25,2876.5,17.1151,5.75,6.16108,1.5,5.92654,73.5632,4.25,11.1886,92.5361,0.0921618,0.113991,0.80377,0.105121,1.23103,1.35627,1.16842,0.0461603,0.524112,0.261088,0.395353,0.190663,0.0667614,0,Left,6.0,3.0,215.0,131.5,85.3333,0.0124854,0.0154426,0.847693,0.00717838,1.05111,1.06118,1.04608,0.0315406,0.0601852,0.0256207,0.0502296,0.0287951,0.0137617,0,17.0,8.5,205.647,92.5882,97.5882,0.0114523,0.0141649,0.753113,0.0111774,0.715451,0.725785,0.710284,0.0716976,0.0307321,0.0150776,0.0268343,0.0145576,0.00641176,0
40-41.sub-CC00162XX06.ses-53600.R71,1.0,77.0543,28.167,2.73562,121.104,0.636268,24.5,24.5,0.0,481.75,0.0,0.5,3.12777,0.25,0.0,0.0,0.25,0.0,0.0,0.108848,0.133247,0.849083,0.121879,1.28684,1.43121,1.21465,0.0473931,0.556116,0.273198,0.427719,0.210591,0.0755662,0,Left,1.0,0.5,213.0,151.0,98.0,0.0224756,0.0275137,1.03734,0.0157249,1.01164,1.02921,1.00286,0.0832446,0.0880302,0.0448219,0.0704217,0.0348675,0.0127903,0,1.0,0.5,206.0,96.0,106.0,0.00367422,0.00449782,0.990567,0.00556025,0.407054,0.408829,0.406166,0.0931174,0.00964094,0.00429494,0.00879001,0.00505054,0.00228158,0
