,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
42-43.sub-CC00193XX13.ses-64400.R78,99.0,78.2046,44.1362,1.77189,22.2069,3.52164,761.75,79.875,681.875,7286.25,22.6206,31.5,8.42125,17.0,8.88641,14.5933,14.5,13.7342,40.8685,0.102019,0.139073,0.689809,0.156991,1.20664,1.3912,1.11436,0.049432,0.480932,0.193516,0.29006,0.138611,0.0474323,0.438464,Right,68.0,34.0,89.4265,101.588,156.235,0.0102327,0.0139492,0.894555,0.0126066,1.2248,1.23952,1.21745,0.0495915,0.107048,0.0350455,0.0689011,0.0390814,0.0176845,0.60462,58.0,29.0,36.2931,80.2931,91.5172,0.0116118,0.0158292,0.554258,0.0187245,0.759589,0.77688,0.750944,0.0335068,0.0866856,0.0324876,0.0527899,0.0268151,0.0103518,0.426857
42-43.sub-CC00209XX11.ses-70400.R71,45.0,60.4826,37.6306,1.60727,20.9348,2.88909,396.5,0.0,396.5,4490.75,17.9331,12.75,8.18045,6.0,9.44297,46.6891,6.75,8.49015,33.5488,0.0914653,0.133518,0.799626,0.116335,1.18967,1.31803,1.12549,0.0473291,0.471927,0.18787,0.285016,0.137377,0.0476933,0.438464,Right,24.0,12.0,92.0833,67.6667,143.125,0.0112894,0.01648,1.04474,0.0127307,1.09171,1.10503,1.08505,0.0694319,0.0627166,0.0235413,0.0397022,0.0209587,0.00898511,0.60462,27.0,13.5,35.8148,77.2963,93.5926,0.00787289,0.0114926,0.471326,0.00876272,0.57681,0.586142,0.572143,0.0263201,0.052867,0.018972,0.0333755,0.017805,0.00739446,0.426857
42-43.sub-CC00209XX11.ses-70400.R76,140.0,64.2382,37.3041,1.72201,16.0595,4.00002,807.25,261.75,545.5,7035.5,30.8037,27.0,8.71544,8.5,21.1967,166.061,18.5,9.60699,15.673,0.0797646,0.114201,0.932602,0.10137,1.18714,1.30521,1.12811,0.0432813,0.458604,0.179352,0.275343,0.133869,0.0472095,0.438464,Right,34.0,17.0,87.8235,63.0882,134.176,0.0105489,0.0151031,1.04919,0.0120179,0.890222,0.899291,0.885688,0.109003,0.055593,0.0196936,0.0370237,0.0207026,0.00943092,0.60462,74.0,37.0,38.1081,70.6757,83.7027,0.00971116,0.0139036,0.722529,0.0104295,0.87802,0.888981,0.87254,0.0236988,0.102489,0.0349638,0.0640975,0.0349389,0.0148629,0.426857
42-43.sub-CC00219XX13.ses-86600.R74,156.0,62.38,42.9099,1.45375,15.7786,3.95345,765.75,186.375,579.375,6583.5,33.5273,43.75,8.49739,19.5,23.4821,88.8362,24.25,10.0451,13.0722,0.103899,0.13842,0.870634,0.143191,1.23252,1.40814,1.14472,0.049194,0.487874,0.194059,0.29557,0.143022,0.0501982,0.438464,Right,78.0,39.0,91.5128,101.115,151.295,0.0115084,0.0153321,1.29401,0.012049,1.39413,1.40973,1.38633,0.015561,0.203604,0.0667631,0.126859,0.0706128,0.0310541,0.60462,97.0,48.5,34.4021,94.701,96.6392,0.0112959,0.015049,1.12994,0.0117339,1.29342,1.30797,1.28614,0.0164357,0.201863,0.0672944,0.124129,0.067784,0.028766,0.426857
42-43.sub-CC00255XX08.ses-84400.R73,371.0,64.7114,41.6839,1.55243,12.0428,5.37346,1467.5,335.875,1131.62,11110.0,17.4032,82.5,10.1702,46.25,9.58954,6.24645,36.25,7.81369,5.29121,0.0813467,0.114689,0.89003,0.0948828,1.26034,1.37467,1.20317,0.0393912,0.495524,0.190304,0.2992,0.147717,0.0532153,0.438464,Right,185.0,92.5,82.9784,101.503,154.238,0.0113853,0.0160518,1.10529,0.0146649,1.11153,1.12758,1.10351,0.0350842,0.119863,0.0404936,0.075781,0.041906,0.0183504,0.60462,145.0,72.5,32.8,92.3517,94.3586,0.0101796,0.0143518,0.918936,0.0140222,0.971313,0.986739,0.9636,0.0260881,0.105305,0.0358126,0.066197,0.0362937,0.0156231,0.426857
42-43.sub-CC00258XX11.ses-84900.R73,84.0,60.6263,41.6598,1.45527,18.1036,3.34885,534.0,135.5,398.5,5199.0,22.4414,20.75,8.15105,7.5,15.7203,103.517,13.25,6.7211,10.7106,0.0727215,0.103935,0.996375,0.08342,1.27813,1.38274,1.22583,0.0383409,0.450016,0.170757,0.272786,0.136294,0.050288,0.438464,Right,30.0,15.0,93.0667,88.2333,146.2,0.011648,0.0166475,1.47999,0.0147362,1.41515,1.43457,1.40543,0.0131546,0.213712,0.0697776,0.133876,0.0751687,0.0337832,0.60462,53.0,26.5,38.2075,79.1698,90.3962,0.0105151,0.0150284,1.02726,0.0125715,1.35605,1.37391,1.34712,0.0123743,0.195846,0.0625002,0.124199,0.0709685,0.0325915,0.426857
42-43.sub-CC00272XX09.ses-117900.R75,397.0,61.8948,40.0964,1.54365,11.5392,5.36388,1398.62,233.25,1165.38,10618.0,20.8991,109.75,10.1803,53.0,11.5507,7.90839,56.75,9.34843,4.83795,0.0941032,0.111435,0.860706,0.122465,1.244,1.3897,1.17114,0.0457808,0.48808,0.191822,0.295206,0.143781,0.0508728,0.438464,Right,212.0,106.0,82.5755,104.665,153.142,0.0121796,0.0144228,1.08206,0.0146991,1.30133,1.31943,1.29228,0.0180169,0.204434,0.0676584,0.127029,0.0702322,0.0305704,0.60462,227.0,113.5,32.9515,93.5903,93.022,0.0122951,0.0145596,0.929443,0.014132,1.13379,1.14968,1.12584,0.0292735,0.127147,0.0442045,0.0789477,0.0424978,0.0178865,0.426857
42-43.sub-CC00298XX19.ses-94700.R77,175.0,61.918,34.525,1.79342,12.9245,4.79075,1116.12,20.375,1095.75,10037.2,27.8693,57.75,10.7707,28.25,16.9099,31.7988,29.5,10.9594,12.7909,0.103812,0.15324,0.802104,0.145264,1.24391,1.41619,1.15778,0.0464086,0.513413,0.203706,0.310618,0.150256,0.0524821,0.438464,Right,113.0,56.5,83.8496,92.1947,148.15,0.0109035,0.0160949,1.01566,0.0116775,1.36552,1.38055,1.358,0.0204706,0.166337,0.0530431,0.10657,0.0610993,0.0280258,0.60462,118.0,59.0,36.8559,88.2288,98.8814,0.0110892,0.016369,0.758876,0.0117193,1.21729,1.23258,1.20964,0.0182118,0.160362,0.0524887,0.100949,0.0564244,0.0247984,0.426857
42-43.sub-CC00343XX14.ses-108500.R71,68.0,65.8593,45.6136,1.44385,20.2617,3.25044,546.5,67.625,478.875,5894.5,32.1656,24.25,8.76473,10.5,22.4653,151.002,13.75,9.70035,21.4992,0.093978,0.12513,0.831394,0.122328,1.25026,1.40214,1.17433,0.0446785,0.496654,0.194805,0.299587,0.145968,0.0518454,0.438464,Right,42.0,21.0,90.9524,108.714,154.405,0.0123694,0.0164697,1.15583,0.0125445,1.26008,1.27476,1.25274,0.0240671,0.175716,0.0586333,0.109553,0.0603802,0.0261291,0.60462,55.0,27.5,36.8727,82.7091,90.9636,0.0110636,0.0147311,0.953721,0.0144366,0.972634,0.986456,0.965723,0.0493714,0.0947967,0.0333191,0.0592225,0.0316289,0.012952,0.426857
42-43.sub-CC00349XX20.ses-110300.R74,158.0,67.4292,46.1363,1.46152,16.5462,4.0752,879.5,0.0,879.5,8206.25,27.1732,40.75,9.506,21.0,11.8873,21.1395,19.75,15.2859,37.1678,0.0898849,0.119123,0.819813,0.128158,1.25846,1.41049,1.18244,0.0428012,0.493518,0.194368,0.297322,0.144143,0.0505266,0.438464,Right,84.0,42.0,94.0595,107.952,156.857,0.0108682,0.0144034,1.13299,0.0134514,1.45426,1.47234,1.44521,0.0136713,0.222297,0.0724808,0.138368,0.0773941,0.0344939,0.60462,79.0,39.5,36.924,91.9367,96.1013,0.0126514,0.0167666,0.869614,0.016624,1.19932,1.21892,1.18951,0.023304,0.162272,0.0558786,0.099735,0.053657,0.0225461,0.426857
