,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
40-41.sub-CC00843XX19.ses-4330.R70,1.0,101.557,72.6519,1.39785,165.595,0.613284,30.0,30.0,0.0,639.75,0.0,0.5,3.26957,0.25,0.0,0.0,0.25,0.0,0.0,0.120535,0.13647,0.919376,0.154571,1.21329,1.40174,1.11907,0.0563895,0.522089,0.268249,0.395284,0.187707,0.0651575,0,Right,1.0,0.5,89.0,162.0,166.0,0.000870727,0.00098584,1.13868,0.0,0.0,0.0,0.0,0.13728,-0.00207341,0.0,0.0,0.0,0.0,0,1.0,0.5,44.0,78.0,55.0,0.0131022,0.0148344,1.18641,0.00869425,1.52199,1.53465,1.51566,0.0128948,0.218225,0.0841271,0.172319,0.100128,0.047367,0
41-42.sub-CC00062XX05.ses-13801.R77,5.0,91.6618,73.6587,1.24441,76.6318,1.19613,103.0,44.625,58.375,1487.25,7.7781,2.0,4.31784,1.25,5.41643,73.7336,0.75,2.36168,23.3631,0.114495,0.154673,0.89795,0.163377,1.20482,1.39494,1.10977,0.0576421,0.454384,0.236088,0.348369,0.16518,0.056612,0,Right,5.0,2.5,78.6,192.2,145.0,0.0117415,0.0158619,1.09041,0.0133063,0.838786,0.85016,0.833099,0.125143,0.0447625,0.0203224,0.0391311,0.0220386,0.0100229,0,3.0,1.5,53.3333,83.0,51.3333,0.0116113,0.0156859,1.04212,0.00931593,1.49932,1.51277,1.49259,0.0188643,0.145411,0.054315,0.118576,0.0712905,0.0356923,0
41-42.sub-CC00091XX10.ses-32300.R64,2.0,90.5525,67.0078,1.35137,118.01,0.76733,41.875,41.875,0.0,686.75,1.02452,1.0,3.14605,0.5,0.375,0.883573,0.5,0.649519,2.65072,0.0948039,0.099461,0.804123,0.102841,1.28304,1.4075,1.22081,0.0446735,0.493429,0.242258,0.378569,0.18622,0.0668154,0,Right,2.0,1.0,74.0,192.0,139.5,0.0098653,0.0103499,1.14084,0.00502949,1.43148,1.4389,1.42776,0.0116489,0.162938,0.0614278,0.130222,0.0770667,0.0375735,0,2.0,1.0,55.5,85.5,60.5,0.00881161,0.00924447,0.759124,0.00438554,1.54556,1.55154,1.54257,0.0210741,0.0912305,0.033622,0.0762397,0.0469528,0.0247437,0
41-42.sub-CC00165XX09.ses-54600.R76,1.0,101.014,81.1305,1.24508,169.282,0.596723,28.25,28.25,0.0,611.5,0.0,0.5,3.22917,0.25,0.0,0.0,0.25,0.0,0.0,0.120327,0.14074,0.993704,0.144392,1.21105,1.37133,1.13091,0.0468559,0.542622,0.277912,0.411999,0.196162,0.0679093,0,Right,1.0,0.5,95.0,197.0,147.0,0.0190512,0.0222831,1.12401,0.021225,1.12799,1.15323,1.11537,0.030621,0.198397,0.0903111,0.149191,0.0762177,0.0292071,0,1.0,0.5,41.0,77.0,52.0,0.0126403,0.0147846,0.549389,0.00678023,0.709001,0.717668,0.704667,0.0188334,0.069447,0.0305458,0.0564565,0.0317081,0.0152013,0
41-42.sub-CC00174XX10.ses-57200.R73,35.0,97.0042,75.4473,1.28572,42.9709,2.25744,388.25,74.875,313.375,4694.25,14.1172,11.5,6.82355,6.0,9.33882,45.6649,5.5,4.7784,13.0422,0.0917805,0.16721,0.915197,0.157665,1.23614,1.41802,1.1452,0.0568061,0.369364,0.189539,0.284067,0.136014,0.0470851,0,Right,24.0,12.0,86.5417,194.792,145.208,0.00964514,0.0175719,1.18174,0.014104,0.839917,0.852317,0.833717,0.229486,0.0734456,0.0329229,0.0579809,0.0317395,0.0137233,0,22.0,11.0,55.7727,83.1364,51.3636,0.0115713,0.0210811,1.08358,0.011804,1.52526,1.54178,1.51701,0.0188957,0.147516,0.0578807,0.117276,0.0677802,0.0318767,0
41-42.sub-CC00270XX07.ses-88600.R73,13.0,83.9404,68.2644,1.22964,56.9697,1.47342,143.125,64.125,79.0,1645.5,7.55412,3.75,4.23496,1.25,3.28844,27.1781,2.5,4.26568,22.8658,0.133162,0.16058,1.01259,0.156035,1.20057,1.38042,1.11065,0.0564161,0.538432,0.279855,0.412541,0.195392,0.0667283,0,Right,5.0,2.5,84.0,210.6,132.6,0.0106622,0.0128575,1.17926,0.0220082,0.41807,0.429399,0.412405,0.118646,0.0480789,0.0227566,0.0384647,0.0201333,0.00825986,0,10.0,5.0,55.4,99.3,59.5,0.0114406,0.0137962,0.926221,0.0079315,1.4541,1.46487,1.44871,0.0639301,0.0491713,0.0204591,0.0426294,0.0254729,0.0132633,0
41-42.sub-CC00300XX03.ses-96000.R74,2.0,86.8171,65.8447,1.31851,121.394,0.715171,34.875,24.375,10.5,674.5,10.6614,1.0,3.45794,0.5,8.98436,507.171,0.5,1.67705,17.6715,0.10116,0.127272,0.851165,0.1181,1.27252,1.41849,1.19953,0.0511312,0.452575,0.224388,0.349094,0.171246,0.0612308,0,Right,2.0,1.0,72.0,203.5,131.5,0.0121001,0.0152234,1.08989,0.0169162,0.598254,0.612266,0.591247,0.054222,0.0798126,0.0373985,0.062357,0.0317293,0.0116564,0,2.0,1.0,54.0,97.0,57.0,0.0114258,0.0143751,0.799888,0.00954615,1.52602,1.54103,1.51852,0.0396436,0.0725353,0.0285642,0.0605302,0.0359852,0.017945,0
41-42.sub-CC00339XX18.ses-107200.R74,1.0,105.64,68.5629,1.54077,168.789,0.625868,32.5,32.5,0.0,674.0,0.0,0.5,3.24489,0.25,0.0,0.0,0.25,0.0,0.0,0.138334,0.166085,0.790054,0.214087,1.14286,1.38586,1.02136,0.0595529,0.530634,0.282576,0.399499,0.183542,0.0597719,0,Right,1.0,0.5,80.0,165.0,159.0,0.00530992,0.00637515,1.148,0.00671192,0.499029,0.505652,0.495717,0.281976,0.0312469,0.01364,0.0255799,0.0141006,0.00608517,0,1.0,0.5,55.0,82.0,53.0,0.0126474,0.0151847,0.915962,0.0130966,1.56824,1.58765,1.55854,0.016337,0.181639,0.071107,0.143901,0.0834278,0.0398349,0
41-42.sub-CC00348XX19.ses-110200.R70,1.0,89.0504,65.7061,1.35528,141.373,0.629896,27.75,27.75,0.0,562.0,0.0,0.5,3.1892,0.25,0.0,0.0,0.25,0.0,0.0,0.0989195,0.10309,0.779406,0.104681,1.26863,1.39127,1.20731,0.0454502,0.528981,0.260993,0.405509,0.19891,0.071338,0,Right,1.0,0.5,72.0,182.0,147.0,0.017128,0.01785,0.960145,0.0171327,0.861301,0.87474,0.854582,0.088592,0.0611126,0.0302668,0.0489702,0.0250319,0.010084,0,1.0,0.5,55.0,88.0,58.0,0.0137881,0.0143694,0.761937,0.0107477,1.53449,1.55245,1.5255,0.0264679,0.120011,0.0460662,0.0985095,0.058627,0.0289977,0
41-42.sub-CC00357XX11.ses-113900.R71,2.0,98.5872,76.2169,1.29351,127.562,0.77286,46.25,30.5,15.75,782.75,0.53033,0.75,3.27003,0.25,0.0,0.0,0.5,0.53033,1.76715,0.11296,0.144132,0.881237,0.150739,1.18318,1.35147,1.09904,0.0499759,0.509108,0.263077,0.38461,0.181489,0.0622267,0,Right,1.0,0.5,85.0,166.0,162.0,0.0132003,0.0168431,1.17356,0.0140665,0.17487,0.178644,0.172983,0.106151,0.0216769,0.0139656,0.0180928,0.00771128,0.00215225,0,2.0,1.0,41.0,72.5,49.5,0.00536226,0.00684201,0.465257,0.00341359,0.585286,0.590429,0.582714,0.00670891,0.0715601,0.0269024,0.0574135,0.0340627,0.0166314,0
