,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
40-41.sub-CC00594XX18.ses-189800.R70,25.0,66.0294,28.9142,2.28364,25.3894,2.60067,350.75,31.875,318.875,4748.75,29.4084,11.25,8.80252,6.25,13.0249,85.274,5.0,16.3835,168.654,0.0778464,0.0877975,0.853171,0.078706,1.28253,1.37983,1.23388,0.0394183,0.503556,0.242687,0.381412,0.18891,0.0693143,0.525503,Left,25.0,12.5,153.56,70.8,26.28,0.0147776,0.0166666,0.48939,0.0233555,0.513629,0.532228,0.50433,0.0539159,0.0568079,0.0323742,0.0412358,0.0177359,0.00666467,0.343948,20.0,10.0,139.75,26.15,41.8,0.00998875,0.0112656,0.811466,0.0144407,0.575139,0.584963,0.570227,0.0524301,0.0445035,0.0204671,0.0364671,0.0197831,0.00869932,0.433824
40-41.sub-CC00613XX11.ses-181601.R74,365.0,68.6777,23.6489,2.90405,10.6469,6.45052,2244.38,66.875,2177.5,16356.2,33.5432,98.0,11.7523,58.5,14.2265,10.8689,39.5,19.3167,29.677,0.0849293,0.100336,0.878251,0.118494,1.12987,1.26549,1.06206,0.0516154,0.419534,0.214555,0.31296,0.147642,0.0509126,0.525503,Left,234.0,117.0,162.085,71.7735,23.4701,0.0174414,0.0206053,0.479737,0.0393165,0.435311,0.465621,0.420156,0.0379708,0.0792507,0.0431978,0.0576917,0.02546,0.0079427,0.343948,158.0,79.0,139.12,37.4747,33.7595,0.0120044,0.014182,0.641958,0.0335448,0.333458,0.35061,0.324882,0.111382,0.0391531,0.0235266,0.0308176,0.0135378,0.00443291,0.433824
40-41.sub-CC00652XX09.ses-191600.R71,75.0,56.7436,18.4584,3.07413,14.2705,3.97627,704.625,0.0,704.625,8614.0,33.1637,26.0,12.1524,15.0,17.9986,67.8476,11.0,15.1652,65.6827,0.0789353,0.0964761,0.93702,0.0914743,1.30601,1.42347,1.24728,0.0401463,0.48751,0.236957,0.367678,0.180814,0.0660222,0.525503,Left,60.0,30.0,156.633,76.9833,26.7,0.0137048,0.0167503,0.551276,0.0180345,0.800498,0.820801,0.790347,0.020467,0.110728,0.0480975,0.0860594,0.0474036,0.0234034,0.343948,44.0,22.0,139.477,49.3636,35.6818,0.015715,0.0192072,0.608021,0.0225505,0.839977,0.862177,0.828878,0.0424103,0.073687,0.0385287,0.0550278,0.0263351,0.010848,0.433824
40-41.sub-CC00669XX18.ses-214300.R74,231.0,53.3562,18.528,2.87976,9.87615,5.40254,1223.12,139.125,1084.0,11364.5,26.3601,51.0,12.5492,30.75,9.22779,8.69963,20.25,17.1323,45.5363,0.0890512,0.118459,1.02407,0.126594,1.172,1.32296,1.09652,0.0469344,0.443116,0.229842,0.327267,0.152182,0.0521132,0.525503,Left,123.0,61.5,145.846,81.439,19.2602,0.0171733,0.0228445,0.58029,0.0279809,0.61563,0.644999,0.600945,0.0204325,0.109822,0.0545736,0.0807989,0.0399939,0.0170533,0.343948,81.0,40.5,136.506,40.2716,32.9506,0.0157933,0.0210089,0.7196,0.0345283,0.457541,0.483452,0.444585,0.0649997,0.0499641,0.029817,0.0362172,0.0151466,0.00502885,0.433824
40-41.sub-CC00671XX12.ses-197400.R76,44.0,67.3794,26.4901,2.54357,23.5283,2.86376,434.0,57.375,376.625,6235.25,36.6882,13.25,10.2859,6.25,17.8776,160.653,7.0,18.8106,158.803,0.0689906,0.0950184,1.03287,0.0989121,1.20653,1.32611,1.14674,0.0490338,0.377589,0.188467,0.283466,0.136678,0.0487525,0.525503,Left,25.0,12.5,157.0,77.28,22.96,0.014651,0.0201783,0.602109,0.0277551,0.686022,0.714759,0.671653,0.0260794,0.0825343,0.0402261,0.0621609,0.0313317,0.0131164,0.343948,28.0,14.0,142.75,33.8571,37.8929,0.0105557,0.014538,0.67353,0.0172295,0.538976,0.553061,0.531933,0.0669116,0.0600869,0.0280758,0.0463707,0.0243046,0.0109904,0.433824
40-41.sub-CC00693XX18.ses-201000.R69,394.0,52.2447,28.9276,1.80605,7.63289,6.84468,1922.38,854.25,1068.12,15865.8,24.0022,100.75,14.1226,53.75,13.9938,11.4458,47.0,10.0083,6.69537,0.0787003,0.0934184,1.00066,0.0871101,1.21497,1.3181,1.16339,0.0396693,0.483965,0.242403,0.357979,0.171027,0.0610529,0.525503,Left,215.0,107.5,152.744,74.6186,20.1535,0.0234958,0.0278899,0.421091,0.0472772,0.416035,0.450332,0.398887,0.0230307,0.0967035,0.0580925,0.0659473,0.0261205,0.00976771,0.343948,188.0,94.0,135.761,23.2819,34.1117,0.0139021,0.016502,0.517164,0.0205429,0.55585,0.574576,0.546486,0.034293,0.0584693,0.0310023,0.0437734,0.0208063,0.00825844,0.433824
40-41.sub-CC00720XX11.ses-211101.R73,521.0,61.4834,30.4734,2.01761,8.6907,7.07462,2416.88,595.25,1821.62,17654.5,30.4298,95.25,12.9195,55.75,14.5604,11.9468,39.5,15.8694,20.0298,0.0737923,0.0877137,0.923052,0.0787454,1.20452,1.29614,1.15871,0.0380929,0.489912,0.246724,0.360156,0.170928,0.0609045,0.525503,Left,223.0,111.5,159.78,84.4888,11.722,0.0234996,0.027933,0.533792,0.0553569,0.365512,0.395196,0.35067,0.0579466,0.0862862,0.0527339,0.0618939,0.0253037,0.00911973,0.343948,158.0,79.0,142.392,31.8481,36.4873,0.0140231,0.0166686,0.655485,0.027421,0.454663,0.470681,0.446654,0.0633109,0.0504657,0.0285932,0.0379583,0.017435,0.00690433,0.433824
40-41.sub-CC00787XX21.ses-19010.R72,142.0,53.5115,23.4143,2.28542,9.85803,5.42822,1238.38,16.25,1222.12,12938.5,36.2832,49.5,14.1785,22.25,14.5271,29.7972,27.25,21.7561,54.5691,0.0563771,0.0937101,1.08792,0.0924268,1.10738,1.20538,1.05839,0.0479719,0.328292,0.166703,0.243238,0.11499,0.0400901,0.525503,Left,89.0,44.5,152.202,74.8989,22.4719,0.0146451,0.0243431,0.689608,0.0534279,0.319532,0.351326,0.303635,0.0659719,0.0423671,0.028913,0.029572,0.0102158,0.00274092,0.343948,109.0,54.5,150.0,42.3945,37.3761,0.0115288,0.0191632,0.968056,0.0274511,0.605777,0.623396,0.596967,0.0623349,0.0502905,0.0256061,0.0384719,0.0191224,0.00818602,0.433824
40-41.sub-CC00810XX10.ses-29010.R69,497.0,80.3337,25.8025,3.11341,13.913,5.77401,2103.5,352.375,1751.12,16154.8,37.6056,92.5,11.086,58.75,15.6726,13.1348,33.75,21.933,44.7787,0.0936897,0.123022,0.889561,0.110139,1.19937,1.33106,1.13352,0.0449425,0.491293,0.2525,0.36532,0.171683,0.0593873,0.525503,Left,235.0,117.5,163.77,76.7915,19.034,0.0213974,0.0280963,0.479334,0.0452009,0.435604,0.469481,0.418665,0.0271011,0.0851944,0.0502215,0.0592064,0.0242161,0.00833273,0.343948,135.0,67.5,152.289,55.8,27.2148,0.0169761,0.0222909,0.501596,0.0314935,0.457965,0.484391,0.444752,0.0376784,0.064441,0.0370613,0.0458852,0.0197621,0.00729595,0.433824
40-41.sub-CC00822XX14.ses-15710.R72,211.0,53.8354,24.4263,2.20399,9.25879,5.81451,1429.5,230.375,1199.12,13292.2,31.2916,56.75,13.5166,29.0,12.8794,17.9699,27.75,18.4121,38.3791,0.070376,0.0908013,0.936679,0.0800977,1.21068,1.3063,1.16288,0.0432586,0.416576,0.20565,0.311796,0.151491,0.055105,0.525503,Left,116.0,58.0,148.888,72.6983,27.0172,0.0184082,0.0237508,0.491901,0.0338421,0.432745,0.456908,0.420664,0.0296767,0.0699428,0.0399549,0.0504848,0.0218762,0.00822957,0.343948,111.0,55.5,138.072,34.036,32.1712,0.0121738,0.0157071,0.633722,0.0216555,0.481133,0.496284,0.473557,0.0695292,0.0499458,0.0272428,0.036722,0.0167429,0.00635108,0.433824
